155.210.154.194:1756118:47:53.543174 raft.go:161: logger initialized
155.210.154.194:1756118:47:53.543300 raft.go:88: Réplica 0: comienza la ejecución
155.210.154.194:1756118:47:56.262128 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.314367 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.366762 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.418919 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.470727 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.523019 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.574752 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.627008 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.679121 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.731546 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.783731 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.835706 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.887743 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.939806 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:56.991742 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.043853 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.095800 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.147853 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.199998 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.252265 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.304160 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.356257 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.408470 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.459962 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.512173 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.564492 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.616595 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.668626 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.721218 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.773535 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.825772 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.877931 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.930004 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:57.982325 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.034644 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.086587 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.138064 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.190351 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.241951 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.293989 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.346056 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.397603 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.449654 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.501120 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.553032 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.604970 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:47:58.656395 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
